,percent_rounded,percent_geochem_preserved,actual_volume,avg_r,non-uni,uni,mantle_temp,int_temp,mean_it3
382,23.2821517545038,41.6761551922926,20073368,168.66666666666666,172,162,576.5,1610,1388.83609174435
383,48.3122171945701,100.0,176800,36.0,42,24,315.0,1870,621.750108889468
384,93.9756694038153,0.0,9218352,135.33333333333334,160,86,1267.0,1770,1613.1379911885
385,91.1778715721701,28.8397479174621,14729144,152.66666666666666,162,134,341.0,1900,1533.00549106821
386,87.973162652515,25.7131431145095,20284568,170.0,158,194,690.5,1700,1498.31057342524
387,89.9156626941439,2.2554597593839,6640952,116.66666666666667,114,122,1068.5,1750,1562.11188006896
388,92.7844315787923,0.0,5973528,112.66666666666667,116,106,1448.5,1690,1616.66631622954
389,87.0992873367714,31.336439552651,22755208,176.0,182,164,545.0,1730,1475.51954259369
390,79.3901882305479,35.4775124832348,2260632,84.66666666666667,100,54,972.0,1740,1400.15402754822
391,7.83585313174946,100.0,92600,47.333333333333336,14,114,585.0,1820,690.137920404653
392,100.0,0.0,18525160,168.0,192,120,1486.5,1760,1694.58446027019
393,64.1861620913846,79.3368011335262,3348136,93.33333333333333,100,80,511.5,1650,1194.13800825937
394,96.2002963059264,0.0,2953704,105.33333333333333,140,36,1545.5,1640,1592.01076325839
395,93.6638372301209,0.0,5227896,108.66666666666667,98,130,1219.5,1800,1612.20798644159
396,65.6016301474626,88.5556051717147,1558632,76.0,92,44,458.0,1680,1084.03428742498
397,48.7170663512206,100.0,371960,76.0,22,184,1112.0,1730,1228.55774050079
398,100.0,0.0,3538520,108.66666666666667,66,194,1548.0,1810,1694.25344961536
399,66.0448729543328,93.1841238134934,1017272,64.66666666666667,52,90,485.5,1730,1040.57345589943
400,30.3547861070219,0.0,15438936,163.33333333333334,198,94,1240.5,1610,1526.17182385888
401,85.4621518173247,26.0502144824012,6406120,122.66666666666667,150,68,866.0,1760,1462.45845440344
402,93.4179922524923,0.0,23474904,178.0,186,162,1425.5,1670,1624.92825864107
403,83.2541456845324,34.0032801020476,1799944,76.0,82,64,956.0,1770,1418.67734553699
404,0.0,100.0,622744,82.0,28,190,827.0,1620,1030.00729116801
405,41.031917898503,100.0,84968,37.333333333333336,16,80,790.0,1880,901.556831174472
406,89.4408479843195,29.4127821775352,20072824,171.33333333333334,192,130,412.5,1820,1505.14212013444
407,0.0,89.0236302013414,5917512,138.66666666666666,188,40,490.0,1610,1129.70791056011
408,14.7240337134184,0.0,5487192,110.0,102,126,1253.0,1610,1501.27121931071
409,78.6735629448694,49.0204998635209,3429096,106.66666666666667,66,188,849.5,1750,1358.50746746911
410,65.1763214445836,100.0,517464,71.33333333333333,28,158,637.5,1890,949.491409823003
411,81.3493768801031,60.3285199911549,1917448,82.66666666666667,102,44,602.5,1830,1267.44186624646
412,99.8688395837424,0.0,1018600,86.66666666666667,36,188,1487.0,1800,1601.85369670871
413,90.8543714502664,10.2387757385079,8080888,124.66666666666667,120,134,864.5,1830,1553.36170997546
414,71.2335200588468,44.0417586148362,1413840,90.0,124,22,1107.0,1740,1347.90680688056
415,80.4677013819309,64.0425733028338,2115880,82.66666666666667,66,116,566.5,1810,1260.60992442676
416,33.2674216549823,100.0,133512,64.0,14,164,550.0,1860,673.141030314041
417,88.3963797743852,10.5597377530777,1786408,82.66666666666667,56,136,1027.0,1860,1454.07180935117
418,95.0653753010694,0.0,24303368,181.33333333333334,198,148,1350.5,1710,1639.8280141547
